ID,Current_Job,Career_Interest,Qualification,Years_of_experience,Industry
1304, Marketing Content Specialist,Public Relations Specialist,BSc Computer Science,7,Real Estate
1305," Ado Odo/Ota, Ogun State, Nigeria",Set Designer,BSc Computer Science,6,Education
1306, Embedded system designer,Songwriter,BSc Computer Science,5,Business Products & Services
1307, Zone,Sound Designer,"B.Eng Electrical, Electronics & Communications Engineering",10,Business Products & Services
1308, Java Software and DevOps ...,Special Effects Artist,"MD, Veterinary Medicine (in view)",8,IT Management
1309, LeoVegas Group,Stylist,BSc Computer Science and Education ,10,Advertising & Marketing
1310, Network Operations Center Engineer,Tattoo Artist,BSc Biochemistry,10,IT System Development
1311, Human Resources and ...,Teacher,BSc Microbiology,10,Food & Beverage
1312, Copywriter ,Urban Planner,BTech Petroleum Engineering ,5,Government Services
1313, United Kingdom | Professional Profile,Video Editor,BTech Chemical Engineering ,10,Consumer Products & Services
1314, Project Manager/Business Analyst,Video Game Designer,BSc Computer Science,5,Software
1315, Interim Operations Supervisor,Web Designer,BSc Cell Biology and Genetics,8,Financial Services
1316, United Kingdom | Professional Profile,Writer,B.Tech Computer Science ,5,Business Products & Services
1317, Site Civil Engineer ,Accountant,BSc. Mechanical Engineering ,8,Health
1318, Software Developer ,Actuary,BSc. Architecture,8,Retail
1319, The University of Winnipeg,Auditor,Bsc Geology and Mineral Science,5,Business Products & Services
1320, HR Intern TeamLead ,Business Analyst,BSc Banking and Finance,7,Software
1321, Customer Support Agent,Business Consultant,BA English and Literature,10,Construction
1322, Chief Operating Officer ,Entrepreneur,BA Mass communication & Media studies,5,Real Estate
1323, Microsoft,Financial Analyst,BSc Computer science ,10,Advertising & Marketing
1324, Siemens,Human Resources Manager,BSc Economics,5,Retail
1325, Chief Operating Officer ,Insurance Agent,BSc Computer science ,5,Consumer Products & Services
1326, Longbridge Technologies Limited,Investment Banker,Bsc.Statistics ,5,Advertising & Marketing
1327, Demure Investment & Logistics Limited,Loan Officer,Bsc.Geology and Mineral Science ,5,Construction
1328, IDT Service Engineer ,Marketing Manager,Bsc.Botany/plant Biology,0,IT Management
1329, Human Resources Assistant,Market Researcher,BE.Civil Drafting and Civil Engineering ,12,Government Services
1330, Chief Executive Officer ,Operations Manager,Bsc.Finance,10,Construction
1331, Code First Girls,Project Manager,Bsc Agriculture ,4,Logistics & Transportation
1332, Penn State University,Public Relations Specialist,Bsc.Chemical Engineering ,10,Business Products & Services
1333, United Kingdom | Professional Profile,Real Estate Agent,Bsc.Petroleum Engineering ,10,IT System Development
1334, Administrateur ,Sales Manager,BE.Chemical Engineering ,10,Real Estate
1335, Digital Content Designer (Graphic Designer),Stockbroker,Bsc.Biochemistry ,10,Real Estate
1336, Operations Engineer II ,Tax Advisor,"BE,Civil Engineering ",10,Consumer Products & Services
1337, Radio Frequency Engineer ,College Professor,Bsc.Biochemistry ,9,Software
1338," Stirling, Scotland, United Kingdom",Curriculum Developer,"BE,Civil Engineering ",7,Business Products & Services
1339, Product Designer ,Educational Therapist,,10,Travel & Hospitality
1340, RedRock Technologies Ltd,Guidance Counselor,BSc Computer Science,5,Manufacturing
1341, Teach For Nigeria,Instructional Designer,BSc Computer Science,10,Engineering
1342, Healthcare Assistant ,Language Teacher,BE. Petroleum Engineering ,5,Software
1343, Baxi by Onafriq,Librarian,BE. Chemical Engineering ,2,Business Products & Services
1344, Project Manager ,Preschool Teacher,BA Fine Arts and design,5,Construction
1345," St Louis, Missouri, United States",School Principal,BS Plant Science and Biotechnology ,7,Construction
1346, Co,Special Education Teacher,BSc Physiology,4,Consumer Products & Services
1347, Cambridge Magistrate court,Teacher,BTech Industrial and Product Design ,10,Energy
1348, Teleperformance,Teacher Trainer,BA Mass Communication ,10,Health
1349, Construction Project Management in view,Tutor,Bsc.Accounting and Finance ,7,Insurance
1350, Report Writer ,Aerospace Engineer,Bsc.Agricultural Economics ,10,Software
1351, Intern ,Biomedical Engineer,Bsc.Accounting ,5,Food & Beverage
1352," Senior Analyst, Programme Management",Chemical Engineer,"BE,French and Education",5,Consumer Products & Services
1353, Teesside University ,Civil Engineer,Bsc.Marketing ,7,Telecommunications
1354, Intern ,Computer Engineer,Bsc.Economics ,8,Government Services
1355, University of Benin ,Data Scientist,Bsc.Real Estate Management ,2,Business Products & Services
1356, IBM,Electrical Engineer,BSc Business Administration and Management ,6,Health
1357, Mixed Media Artist,Industrial Engineer,BA Mass commuication/Media studies,10,Health
1358, Feral Interactive,Marine Engineer,BA Mass commuication/Media studies,3,Financial Services
1359, Access Bank Plc,Mechanical Engineer,BA English Language/ Literature ,10,Consumer Products & Services
1360, Zalando,Network Engineer,BA Combined Arts,5,IT Management
1361, Customer Service Representative,Robotics Engineer,BSc Anatomy,10,Media
1362, RBC,Software Developer,B.Eng. Electronics and computer Engineering ,8,Business Products & Services
1363, LPA,Software Engineer,BSc Computer Science,6,Construction
1364, University of Ibadan,Systems Engineer,Bsc.Geophysics,3,Business Products & Services
1365, Khan Academy ,Web Developer,Bsc.Geography ,10,Construction
1366, Worley,Acupuncturist,Bsc.Computer Science ,4,Security
1367, Redtech,Anesthesiologist,Bsc.Public Administration ,0,Government Services
1368, QA Engineer ,Cardiologist,"BE,Electrical and Electronics Engineering ",5,Financial Services
1369, Contract Analyst ,Chiropractor,Bsc.Computer Science ,10,Software
1370, Assistant Manager ,Dentist,Bsc.Computer Science ,7,Government Services
1371, Production Manager ,Dental Hygienist,"BE,Civil Engineering ",6,Human Resources
1372, Jotella Media Group,Dietician,Bsc.Sociology ,7,Consumer Products & Services
1373, Sap Materials Management Consultant ,Emergency Medical Technician (EMT),Bsc. Physiology,5,IT Management
1374, Crew store ,Family Physician,Bsc. Microbiology,7,Business Products & Services
1375," Oslo, Oslo, Norge | Professional profil",Genetic Counselor,"BS, Management and Accounting",10,IT Management
1376," Kollam, Kerala, India | Professional Profile",Massage Therapist,"B.Sc, Microbiology, General",8,Computer Hardware
1377, Mobile Test Engineer ,Medical Assistant,BSc Computer Science,10,Health
1378, Programación y producción,Nurse,BS Marine Biology and Biological ,0,Advertising & Marketing
1379, Founder ,Occupational Therapist,Bsc.Psychology ,15,Advertising & Marketing
1380, Markham Healthplex Medical Centre,Optometrist,Bsc.Mass Communication ,8,Advertising & Marketing
1381," Warszawa, Woj. Mazowieckie, Polska",Orthodontist,Bsc.Biology/Biological ,10,Business Products & Services
1382, Tesla Power USA,Pharmacist,Bsc.Electrical and Electronics Engineering ,10,Government Services
1383, Interfactor organic poska/ mabit pl,Physical Therapist,"Bsc,Economics ",0,Manufacturing
1384, Supply Chain Management,Physician Assistant,Bsc.Sociology ,8,Software
1385, fonYou,Psychologist,Bsc.Computer Science ,7,Consumer Products & Services
1386, Team Lead ,Radiologist,Bsc.Mass Communication ,8,Media
1387, Clinical Psychologist ,Registered Nurse (RN),Bsc.Computer Science ,10,Software
1388, Canadá | Perfil profesional,Speech-Language Pathologist,"BA,  Linguistics ",5,Real Estate
1389, Regional Director of Finance ,Surgeon,B.Eng Mechanical Engineering ,3,Software
1390, Nursing Assistant ,Veterinarian,"BASc, Management Information Systems",10,Food & Beverage
1391, Business Owner,Lawyer,"BSc City/Urban, Community and Regional Planning",3,Consumer Products & Services
1392, Graduate Student ,Law Enforcement Officer,BSc. Computer Science,5,IT Management
1393, Internal Auditor ,Paralegal,B.Tech. Computer Engineering,10,IT Management
1394, Industrial Designer • Academic Associate,Politician,BSc Fishing and Fisheries Sciences and Management,2,Government Services
1395, Social Media Manager / Content ...,Social Worker,BSc Geology/Earth Science,12,Environmental Services
1396, Communications Manager,Astronomer,BSc Electrical and Electronics Engineering ,0,Real Estate
1397, Content Creator ,Biochemist,BA Theatre annd media arts,10,Real Estate
1398, Social Media Manager/Content ...,Biologist,"Bachelor's degree, Public Administration",8,Business Products & Services
1399, Lead Content Creator ,Chemist,"BSc, Business Administration and Management",8,Logistics & Transportation
1400," Content Creator, Social Media ...",Climatologist,"Bachelor's degree, political Science ",5,Engineering
1401, Brand Manager ,Ecologist,"BS, Computer Science",6,Software
1402, Content Manager ,Geologist,"BS, Computer Science",3,Software
1403, social media manager/ content creator,Marine Biologist,"Bachelor of Arts - BA, Linguistics
",8,Government Services
1404, Content/ Social Media Manager,Mathematician,BA Linguistics ,7,Software
1405, Social Media Manager ,Meteorologist,BSc Microbiology,5,Health
1406, Influencer and content creator,Paleontologist,BSc in Environmental Design,7,Retail
1407, CONTENT CREATORS HUB,Physicist,BA Business Management ,10,Consumer Products & Services
1408, Content lead ,Research Scientist,BSc Social sciences,6,Real Estate
1409, Digital content and community manager,Statistician,BA.Philosophy ,10,Business Products & Services
1410, Community Manager & Content Creator,Counselor,Bsc.Economics ,8,Construction
1411, Digital Content Creator,Life Coach,"LLB,Law ",8,Consumer Products & Services
1412, Content Creator ,Probation Officer,Bsc.Micro Biology ,3,IT System Development
1413, Content Creator ,Social Worker,Bsc.Computer Science ,5,Advertising & Marketing
1414, Corporate Content creator,Therapist,Bsc.Biochemistry ,11,Telecommunications
1415, Social Media Manager / Content Creator,Barber,Bsc.Economics ,3,Software
1416, Senior social media manager,Carpenter,Bsc.Accounting ,4,Retail
1417, Communications Manager ,Electrician,Bsc.Biology and Biological Science,5,Retail
1418, Social Media Manager,Hairdresser,Bsc.Business Administration and Management ,5,Business Products & Services
1419, Social Media Marketing Manager,HVAC Technician,Bsc.Marine Biology,5,Advertising & Marketing
1420, Content Manager ,Landscaper,"BA,Linguistics ",4,Security
1421, Social Media Manager ,Mechanic,"BASc, Computer Science",5,Government Services
1422, Content Creator ,Plumber,B.Eng. Electrical and Electronics Engineering,10,Government Services
1423, Content Manager ,Welder,"Bachelor's degree, Systems Engineering",8,Software
1424,Ahmadu ,Athletic Trainer,"Bachelor degree, Banking and Finance",5,Construction
1425, Social Media Executive,Event Planner,"BS, Geophysics",7,Insurance
1426, Social Media Manager and Content ...,Fitness Instructor,"BSc, Computer Science with Economics",7,Advertising & Marketing
1427, Digital Marketing and Content Creator,Flight Attendant,"BSc, Geography and Environmental Management",8,Human Resources
1428, Social Media Manager ,Hospitality Manager,"BS, Civil and Environmental Engineering",8,Health
1429, Social Media Manager ,Pilot,"BE, Mechanical Engineering",10,Advertising & Marketing
1430, Social Media Manager ,Travel Agent,B.s.c Mass communications ,8,Retail
1431, Social Media Manager ,Illustrator,"Bsc, Computer Science",3,Consumer Products & Services
1432, University of Lagos,Industrial Designer,"BTech, Computer Engineering",8,Construction
1433, Community Manager ,Interior Designer,"BS, Agricultural and Environmental Engineering",4,Government Services
1434, Social Media Manager,Jewelry Designer,"BSc, Computer Science",10,Advertising & Marketing
1435, Content Creator ,Landscape Architect,B.Sc. Electrical and Electronics Engineering,5,Food & Beverage
1436, Social Media Copywriter,Lighting Designer,"BE, Computer Engineering",8,Food & Beverage
1437, Social Media Manager,Makeup Artist,"BE, Computer Engineering",10,Construction
1438, Social Media Manager ,Musician,"Bachelor's degree, Economics",6,Software
1439, Graphics Designer/Content Creator,Music Producer,"Bachelor's degree, Computer Engineering",10,Construction
1440, Digital Media Strategist ,Photographer,"BBA, Business Analytics",8,Food & Beverage
1441, Digital Marketer and Content Creator,Public Relations Specialist,"BS, Computer Science",6,Logistics & Transportation
1442, Digital Marketing Manager ,Set Designer,"Bachelor of Medicine, Bachelor of Surgery - MBBS, Medicine",9,Financial Services
1443, Social Media Manager,Songwriter,"Bachelor of Agriculture, Agricultural Economics",12,Advertising & Marketing
1444, Content creator ,Sound Designer,"Bachelor's degree, Accounting",10,Software
1445, Producer ,Special Effects Artist,"BA, English Language and Literature",10,IT Management
1446, Digital Marketing Specialist ,Stylist,"BE, mechantronics engineering",5,Logistics & Transportation
1447, Digital Marketer ,Tattoo Artist,"BE, Mechanical Engineering",8,Education
1448, Manager ,Teacher,"BTech, Computer Science",9,Manufacturing
1449, Technology Officer ,Urban Planner,"Bachelor’s Degree, Electrical and Electronics Engineering",7,Insurance
1450, Senior Digital Marketing Executive,Video Editor,"BSc. (hons), Electrical & Electronic Engineering",7,Manufacturing
1451, SquaredFinancial,Video Game Designer,BSc Computer Science,5,Manufacturing
1452, Deputy Communications Manager,Web Designer,B Tech. in Quantity Surveying,6,Construction
1453, Social Media Manager ,Writer,"BS, Computer Science",10,Government Services
1454, Social Media Manager ,Accountant,"BS, Computer Science",5,Health
1455, Social Media Manager ,Actuary,"Bachelor's degree, Computer Science",3,Software
1456, Social Media Marketing Manager ,Auditor,"BE, Mechanical Engineering",10,Software
1457," Manager, Digital Content and Social Media",Business Analyst,"Bachelor's degree, Mass Communication/Media Studies",7,Software
1458, Social Media Manager ,Business Consultant,"Bachelor of Science (B.Sc.), Computer Science",10,Construction
1459, EbonyLife Media,Entrepreneur,B.Sc. Computer Science,5,Media
1460, Head of Content ,Financial Analyst,"Bachelor of Engineering - BE, Electronic Engineering",10,Financial Services
1461, Product Marketing Manager,Human Resources Manager,"BSc, Cell Biology, Molecular Biology, and Genetics",5,Media
1462, Social Media Manager,Insurance Agent,"BS, Biochemistry",11,Consumer Products & Services
1463, Content Creator ,Investment Banker,"Chemistry/Education , Education",5,Business Products & Services
1464, Creative & Design Executive,Loan Officer,"BEd, Guidance and counseling ",5,Advertising & Marketing
1465, Digital Account Executive ,Marketing Manager,"Bachelor's degree, Biochemistry",10,Retail
1466, Social Media Manager ,Market Researcher,LLB. Law,10,IT Management
1467, Product Marketing Associate ,Operations Manager,"B. Fisheries, Aquaculture",15,Health
1468, Maticline Industries Ltd,Project Manager,"BS, Biology/Biological Sciences, 
",4,Software
1469," Deputy Manager, Copy ",Public Relations Specialist,"Bachelor's degree, Economics",7,Financial Services
1470, Web Manager and Content Creator,Real Estate Agent,"Bachelor's degree, Natural Sciences( Microbiology)
",10,Computer Hardware
1471, Growth Analyst ,Sales Manager,"BSc, Accounting",10,Software
1472, Model Manager,Stockbroker,B.Sc Accounting,7,Construction
1473, Social Media Manager ,Tax Advisor,"BA, Mass Communication/Media Studies",10,IT System Development
1474, Digital content creator and social media ...,College Professor,"BS, Accounting",4,Government Services
1475, Social Media Manager ,Curriculum Developer,"Bachelor of Laws - LLB, Law",5,Software
1476, Social Media Manager ,Educational Therapist,"BS, Geography",5,Advertising & Marketing
1477, Digital Marketing Manager,Guidance Counselor,"Bachelor's degree, civil engineering",8,Advertising & Marketing
1478, Social Media/Community Manager,Instructional Designer,"BEng, Electronic & Computer Engineering ",3,Health
1479, Health Educator & Content creator Volunteer,Language Teacher,"BE, Electrical and Electronics Engineering",5,Government Services
1480, Digital Marketing Manager ,Librarian,"BSc, Biochemistry",10,Real Estate
1481, Digital Executive ,Preschool Teacher,"BBA, Business Administration and Management",0,Health
1482, Content Creator,School Principal,"BTech, urban and regional planning",8,Advertising & Marketing
1483, Communications Manager,Special Education Teacher,"BS, Computer Technology",7,Advertising & Marketing
1484, Account Manager,Teacher,"BS, Computer Science",7,Food & Beverage
1485, Founder ,Teacher Trainer,"Bachelor of Science - BS, Sociology",5,Media
1486, Social Media Manager,Tutor,Bsc,8,Construction
1487, Social Media Manager ,Aerospace Engineer,BSc. Electrical/Electronics Engineering,10,Software
1488, Imperial Beverages Limited,Biomedical Engineer,BSC Mass Communication ,10,Retail
1489, Product Marketing Manager,Chemical Engineer,BSc (ED) Economics,3,IT Management
1490, Content Manager ,Civil Engineer,BSc Economics,10,Energy
1491, Content Creator ,Computer Engineer,Bsc. Geology and Mineral Sciences,3,Education
1492, The Personal Assistant,Data Scientist,Bsc. Marketing ,10,Telecommunications
1493, Social Media Manager and content ...,Electrical Engineer,Bsc. Petroleum engineering ,10,Software
1494, Social media ads specialist,Industrial Engineer,Bsc. Sociology,10,Logistics & Transportation
1495, Content Creator ,Marine Engineer,BSc Computer science/Cybersecutity ,10,Software
1496, Synergy University Dubai,Mechanical Engineer,BSc Industrial Chemistry ,5,Software
1497, Social Media Manager,Network Engineer,"Bsc, Clinical Laboratory Science",10,Health
1498, Senior Content Manager ,Robotics Engineer,"Bsc, Microbiology",10,Software
1499, Digital marketing and brand specialist,Software Developer,"BSc, Nursing ",7,Advertising & Marketing
1500, Deputy Team Lead ,Software Engineer,"BSc, Biochemistry",10,IT System Development
1501, Social Media Manager,Systems Engineer,BSc. Law,10,Software
1502, Social Media Manager ,Web Developer,"Bachelors of Medicine, Bachelors of Surgery",10,Software
1503, Digital Media Manager/Content ...,Acupuncturist,B.Tech Applied Geology,10,Software
1504, Content Manager ,Anesthesiologist,Bsc. Marketing ,6,Business Products & Services
1505, Content Manager ,Cardiologist,Bsc. Chemical Engineering ,10,Advertising & Marketing
1506, Head of Marketing and Operations,Chiropractor,BSc Statistics ,5,Health
1507, Oap ,Dentist,BSc Computer science ,6,Retail
1508, Content Creator ,Dental Hygienist,B.Arch Architecture ,7,Consumer Products & Services
1509, Strategy and Insights Manager West Africa,Dietician,BSc Human Physiology,5,Health
1510, Digital Marketer/ Social Media Manager,Emergency Medical Technician (EMT),BSc Chemical Engineering ,6,Government Services
1511, Social Media Executive,Family Physician,BE Civil Engineering,7,Travel & Hospitality
1512, Supervisor ,Genetic Counselor,BSc Tourism Management ,8,Financial Services
1513, Social Media Manager ,Massage Therapist,B.eng  Petroleum Engineering ,6,Telecommunications
1514, Sales Executive ,Medical Assistant,BSc Chemistry,5,Government Services
1515, Digital Marketing Manager ,Nurse,BSc Economics,5,Financial Services
1516, Founder ,Occupational Therapist,BSc Economics,10,IT Management
1517, Castle Block Media International,Optometrist,BSc Linguistics and communication studies,6,Advertising & Marketing
1518, Social Media Manager ,Orthodontist,B.Ed Education Mathematics ,5,Travel & Hospitality
1519, Digital Content Manager,Pharmacist,BA History and diplomatic studies,4,Retail
1520, Online Manager ,Physical Therapist,BSc Music,5,Consumer Products & Services
1521, Personal Assistant ,Physician Assistant,BSc Biochemistry ,0,Financial Services
1522, Social Media Manager,Psychologist,BSc Biochemistry ,7,Business Products & Services
1523, Social Media/Content & Brand ...,Radiologist,BSc International relations and affairs,5,Media
1524, Content Creator ,Registered Nurse (RN),BSc Pure ad Industrial chemistry,8,Retail
1525, Social Media Manager,Speech-Language Pathologist,BSc Human Resource management ,8,Software
1526, ACEROYAL ESTATE HOMES LTD,Surgeon,"BS, Metallurgical Engineering",9,Construction
1527, Owner ,Veterinarian,BASc Real Estate,8,Construction
1528, Digital Marketing Manager,Lawyer,BE. Agricultural Engineering ,6,Real Estate
1529, Social Media Manager. ,Law Enforcement Officer,BSc Entrepreneurship studies,7,Business Products & Services
1530, Content Creator ,Paralegal,BSc Accounting,7,IT System Development
1531, Medical Intern ,Politician,B.Tech. Food Science and Technology ,6,Consumer Products & Services
1532, Social Media Strategist,Social Worker,BSc Biochemistry ,6,Financial Services
1533, Content Writer & Social Media Manager,Astronomer,BSc Industrial Chemistry ,6,Real Estate
1534, Community Manager ,Biochemist,Mechanical Engineering ,6,Education
1535, Aston University ,Biologist,BSc Biochemistry ,3,Media
1536, Content Creator,Chemist,BSc Economics ,5,Consumer Products & Services
1537, Content Writer ,Climatologist,BSc Mechanical Engineering ,7,Business Products & Services
1538, Social media manager ...,Ecologist,BE Electrical and Electronics Engineering ,2,Advertising & Marketing
1539, Head of Content ,Geologist,Bsc Physics and Mathematics ,15,Construction
1540, Community Manager ,Marine Biologist,Bsc Sociology ,3,Health
1541, Social Media Manger ,Mathematician,BE Electrical and Electronics Engineering ,5,Real Estate
1542, Content & Social Media Associate,Meteorologist,Bsc Industrial Microbiology ,10,Food & Beverage
1543, Communication Associate,Paleontologist,Bsc Integrated Marketing Communications ,3,Software
1544, Social Media Manager ,Physicist,Bsc Applied Microbiology and Brewing,7,Government Services
1545, Social Media Manager,Research Scientist,B.Tech Applied Geology,5,Business Products & Services
1546, Senior Product Marketing Manager,Statistician,B.Tech Physics electronics,5,Logistics & Transportation
1547, Digital Product Manager ,Counselor,,8,Business Products & Services
1548, Influencer Recruit ,Life Coach,BSc Microbiology,8,Business Products & Services
1549, Member ,Probation Officer,BA Religious studies,10,Human Resources
1550," Senior Producer, Commercial Video ",Social Worker,BSc Biochemistry,0,IT System Development
1551, Digital Marketing Manager,Therapist,BSc Pure and applied biology,3,Advertising & Marketing
1552, Communication Officer ,Barber,BSc Food Science and Technology ,3,Construction
1553, Content Creator ,Carpenter,BE Biomedical Engineering,0,Business Products & Services
1554, Partner ,Electrician,BSc Computer Science,3,Advertising & Marketing
1555, University of Hertfordshire,Hairdresser,BSc Computer Science,5,Logistics & Transportation
1556, Social Media Manager ,HVAC Technician,B.Tech Microbiology,4,Financial Services
1557, Executive Assistant ,Landscaper,BSc Computer Science,7,Health
1558, Social Media Manager ,Mechanic,BSc Computer Science,5,Financial Services
1559, Communications Designer,Plumber,BSc Computer Science,0,Government Services
1560, Community Manager ,Welder,"B.Eng Electrical, Electronics & Communications Engineering",4,Security
1561, Senior Reporter ,Athletic Trainer,"MD, Veterinary Medicine (in view)",4,Real Estate
1562, Social Media Manager ,Event Planner,BSc Computer Science and Education ,3,Financial Services
1563, Founder/ Director ,Fitness Instructor,BSc Biochemistry,0,Construction
1564, Content Creator ,Flight Attendant,BSc Medical laboratory science,5,Telecommunications
1565, Social Media Specialist ,Hospitality Manager,BTech Petroleum Engineering ,3,IT Management
1566, YouTube Channel Manager,Pilot,BTech Chemical Engineering ,6,Logistics & Transportation
1567," Freelance Social Media Manager, Graphic ...",Travel Agent,BSc Computer Science,8,Engineering
1568, Creative Director ,Animator,BSc Cell Biology and Genetics,2,Food & Beverage
1569, Digital Consultant ,Architect,BSc. Mechanical Engineering ,8,Business Products & Services
1570, Social Medial Marketing | Content Creator,Art Director,BSc. Architecture,1,Health
1571, Project Manager/Producer ,Art Therapist,BSc. Biochemistry,10,Real Estate
1572, Brand Manager ,Calligrapher,Bsc Geology and Mineral Science,5,IT Management
1573, Social Media Manager || Digital Creator,Cartoonist,BSc Banking and Finance,0,Advertising & Marketing
1574, Content Coordinator ,Cinematographer,BA Mass communication & Media studies,7,Financial Services
1575, Marketing & Communications ...,Comic Book Artist,BSc Computer science ,10,Business Products & Services
1576, Social Media Manager,Composer,BSc Computer science ,3,Retail
1577, Social Media Manager ,Conductor,Bsc.Statistics ,7,Security
1578, Social Media Lead ,Costume Designer,Bsc.Geology and Mineral Science ,8,Government Services
1579, Account Manager ,Craftsperson,Bsc.Biochemistry ,2,Education
1580, Marketing Lead ,Dancer,BE.Civil Drafting and Civil Engineering ,4,Logistics & Transportation
1581, Talent and Player Recruitment Lead,Digital Designer,Bsc.Accounting ,5,Business Products & Services
1582, Motherboard (formerly roHealth),Editor,Bsc.Finance,7,Advertising & Marketing
1583, Snr. Account Manager ,Fashion Designer,Bsc Agriculture ,10,Construction
1584, Head of Social Media ,Film Director,Bsc.Petroleum Engineering ,3,Consumer Products & Services
1585, Overall Brand Marketing Manager,Fine Artist,BE.Chemical Engineering ,7,Security
1586, Social Media Manager,Floral Designer,Bsc.Biochemistry ,7,Health
1587, Social Media Manager ,Graphic Designer,"BE,Civil Engineering ",5,Logistics & Transportation
1588, INFLUENCER MAKETER ,Illustrator,Bsc.Biochemistry ,10,Telecommunications
1589, Product Manager Teacher ,Industrial Designer,"BE,Civil Engineering ",3,Health
1590, Content Creator ,Interior Designer,,6,Consumer Products & Services
1591, Marketing Content Specialist,Jewelry Designer,BSc Computer Science,4,Advertising & Marketing
1592, Social Media Manager,Landscape Architect,BSc Food Engineering,7,Insurance
1593, Marketing Executive,Lighting Designer,BSc Computer Science,10,Health
1594,Engineering and Performance Monitoring,Makeup Artist,BE. Agricultural and Bioresources engineering ,5,Software
1595,Chief Executive Officer,Musician,BE. Chemical Engineering ,8,Consumer Products & Services
1596,"Head, Growth and Product Marketing",Music Producer,BA Fine Arts and design,8,Health
1597,Executive trainee,Photographer,BS Plant Science and Biotechnology ,5,Manufacturing
1598,Student Intern,Public Relations Specialist,BSc Physiology,8,Retail
1599,Marketing Intern,Set Designer,BTech Industrial and Product Design ,7,Financial Services
1600,Senior Executive Assistant,Songwriter,"BE,French and Education",5,Government Services
1601,Student,Sound Designer,Bsc.Marketing ,0,Financial Services
1602,Graduate Assistant,Special Effects Artist,Bsc.Economics ,5,Financial Services
1603,Freelance writer,Stylist,BSc Business Administration and Management ,7,Health
1604,Graphics designer,Tattoo Artist,BA Mass commuication/Media studies,4,Construction
1605,Digital Marketing Specialist,Teacher,BA English Language/ Literature ,2,Health
1606,Chief Technology Officer,Urban Planner,BA Combined Arts,5,Advertising & Marketing
1607,Programme Manager,Video Editor,B.Eng. Electronics and computer Engineering ,6,Health
1608,Graphics designer,Video Game Designer,B.Eng. Mechanical Engineering ,3,IT Management
1609,-,Web Designer,"BA,Bachelor of Art",3,Government Services
1610,Data Annotator,Writer,Bsc.Geography ,8,Health
1611,Assistant ,Accountant,"BE,Electrical and Electronics Engineering ",7,Business Products & Services
1612,-,Actuary,Bsc.Computer Science ,5,Human Resources
1613,Sales Coordinator,Auditor,BA.History ,0,Software
1614,HEALTH GUIDANCE,Business Analyst,Bsc.Sociology ,10,IT Management
1615,-,Business Consultant,Bsc. Physiology,1,Business Products & Services
1616,Administrative Staff,Entrepreneur,Bsc. Microbiology,8,Advertising & Marketing
1617,Supervisor and tourist manager,Financial Analyst,"B.Sc, International Public Health/International Health",5,Engineering
1618,Data Analyst ,Human Resources Manager,"BS, Biochemistry",0,Financial Services
1619,Project management intern,Insurance Agent,Bachelor of Industrial Mathematics,5,Financial Services
1620,Station Manager,Investment Banker,"BScEd, Home Economics",12,Advertising & Marketing
1621,Canteen Trainee Manager,Loan Officer,Bsc.Psychology ,4,Advertising & Marketing
1622,Freelance ,Marketing Manager,Bsc.Mass Communication ,3,Retail
1623,,Market Researcher,Bsc.Biology/Biological ,4,Construction
1624,Research associate/Hardware Design Engineer ,Operations Manager,Bsc.Electrical and Electronics Engineering ,10,Health
1625,Teacher,Project Manager,"Bsc,Economics ",5,Government Services
1626,Administrator,Public Relations Specialist,Bsc.Sociology ,2,Business Products & Services
1627,Data Analyst,Real Estate Agent,Bsc.Computer Science ,5,Media
1628,Sr DevSecOps Engineer,Sales Manager,Bsc.Mass Communication ,8,Health
1629,CEO,Stockbroker,Bsc.Computer Science ,3,Real Estate
1630,Operations Manager ,Tax Advisor,"BA,  Linguistics ",5,IT Management
1631,Product Manager ,College Professor,"BA,  Linguistics ",9,Software
1632,"Talent Acquisition and development Manager Nigeria,Kenya",Curriculum Developer,B.Eng Mechanical Engineering ,3,IT Management
1633,Marketing and communications strategist ,Educational Therapist,"BASc, Management Information Systems",15,IT Management
1634,Product designer,Guidance Counselor,"BSc City/Urban, Community and Regional Planning",0,Food & Beverage
1635,Digital Marketing Specialist,Instructional Designer,BSc. Computer Science,7,Food & Beverage
1636,Insurance Manager,Language Teacher,B.Tech. Computer Engineering,10,Health
1637,Technology coach,Librarian,BSc Fishing and Fisheries Sciences and Management,10,IT System Development
1638,Content Email and Social Media Executive ,Preschool Teacher,BSc Geology/Earth Science,7,Logistics & Transportation
1639,Commuity Manager,School Principal,"Bachelor's degree, Public Administration",8,Consumer Products & Services
1640,Senior Product Designer,Special Education Teacher,"BS, Computer Science",5,Government Services
1641,Senior Product Designer,Teacher,"Bachelor of Arts - BA, Linguistics
",0,Business Products & Services
1642,Product Designer,Teacher Trainer,BA Linguistics ,5,Telecommunications
1643,Design lead,Tutor,BSc Microbiology,6,Health
1644,Product Designer,Aerospace Engineer,BA Business Management ,7,Business Products & Services
1645,Senior Product Designer,Biomedical Engineer,BSc Social sciences,3,Health
1646,Volunteer,Chemical Engineer,BA.Philosophy ,6,Construction
1647,Lead designer,Civil Engineer,Bsc.Economics ,2,Financial Services
1648,Freelance motion Designer,Computer Engineer,"LLB,Law ",7,Construction
1649,"Graphic Designer, Photographer",Data Scientist,Bsc.Computer Science ,6,Advertising & Marketing
